ID,Korte omschrijving,Extra info,Duo,Alt. Omschrijving,Vierkant,Kring,400m Baan,Img,Youtube Id,Warming up,Core stability,Loopscholing,Tussenprogramma,Hoofdprogramma,,TS-Alle oefeningen,TS-Woensdag 19-10-2016
A001,Inleiding,Vul in bij de TS kolom...,,x,,,,,,,,,,,,"IL.AL.1.
Dit zijn alle beschikbare oefeningen","IL.AL.1.
Deze training ligt het accent op kracht: versterken diverse spiergroepen. Dus extra aandacht voor core stability.
De intervallen zullen vanavond kort zijn."
W001,Inlopen,Zelfstand inlopen,,,,,x,,,x,,,,,,WU.4B.2,WU.4B.2
W002,Armen zwaai,"links, rechts, beide, achteruit",,,x,,x,,,x,,,,,,WU.4B.3,WU.4B.3
W003,Kruispas,"linksom, rechtom",,,x,,x,,,x,,,,,,WU.4B.4,WU.4B.4
W004,Zijwaarts met armen zwaai,"Gezicht naar binnen, gezicht naar buiten",,,x,,x,,,x,,,,,,WU.4B.5,WU.4B.5
W005,Knienen-Teen,Door de knieen en op tenen (wandelend),,,x,,x,,,x,,,,,,WU.4B.6,WU.4B.6
W006,Korte vernelling (rustige opbouw),Korte verschelling 10m (of 5 sec op fluitsignaal). Versnelling op rustig worden uitgevoerd,,,x,,x,,,x,,,,,,WU.4B.7,WU.4B.7
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
K001,Rekken/strekken algemeen,De diverse spiergroepen.,,,,x,,,,x,,,,,,WU.KR.11,CS.KR.10
K002,Zwaaibeweging been op de plaats,Evenwicht houden. Daarna stilhangen lichaam naar voren 1 been achter.maak ipv zwaaiende beweging draaiende beweging,,,,x,,x,,x,x,,,,,CS.KR.12,CS.KR.11
k026,Draaibeweging been op de plaats,Een standbeen ander draaien. Daarna andersom,,,,x,,x,JchS1SGwW90?start=0&end=10,,x,,,,,CS.KR.36,CS.KR.12
K005,Tripplings op de plaats met kniehef,"Tripplings op de plaats met kniehef, kniehef paar sec. vasthouden.",,,,x,,,,,x,,,,,CS.KR.15,CS.KR.13
K006,"Dribbelen op plaats, Sprongbeweging","Dribbelen op plaats, Sprongbeweging",,,,x,,,,,x,,,,,CS.KR.16,CS.KR.14
K008,Kniehef overgaand naar stilstand,"Kniehef op de plaats daarna overgaan variant met stilstand (1 knie omhoog 90 graden en paar sec. vasthouden, wisselen van been)",,,,x,,,,,x,,,,,CS.KR.18,
K009,Sprongbeweging naar ligstand buik,"Spring eerst, daar met handen naar de grond en strek je benen. Kom je benen weer en kom overeind en spring evt knieen omhoog.",,,,x,,,,,x,,,,,CS.KR.19,
K010,Naar push en weer terug naar staand,"Buig je rug, benen gestrekt. Breng je armen naar de grond iets voor je voeten en beweeg ze een voor een naar voren tot je rug recht is en een push up kan doen.
Na 1 push up weer terug naar de oorsponkelijke stan",,,,x,,,,,x,,,,,CS.KR.20,
K003,Uitvalspas,"Links, rechts om en om",,,x,x,,,,x,x,,,,,CS.KR.13,CS.KR.18
K004,Squats,"Squats, rug recht, strek je armen als je door de knieen zakt",,,,x,,,,,x,,,,,CS.KR.14,CS.KR.19
K011,Buikspier – grijp,"Ga op de rug liggen. Voeten omhoog, gekruisd. Knie maakt een hoek van 90 .
Maak een grijpende beweging met je arm alsof je iets wil pakken. Kom telkens weer terug in de basishouding
Keuze uit wel of geen hele rug op de grond. ",,,,x,,x,r7YxuEueF58?start=22&end=30,,x,,,,,CS.KR.21,CS.KR.20
K012,Buikspier – schommel,Ga op de rug liggen. Benen en armen gestrekt. Voeten iets van de grond en maak een schommelende beweging heen en weer,,,,x,,,,,x,,,,,CS.KR.22,
K013,Push up houding met armen gestrekt.,Ga op je buik liggen. Push up naar armen gestrekt. Alleen bovenlichaam komt omhoog.,,,,x,,,,,x,,,,,CS.KR.23,CS.KR.22
K014,Vliegtuigsprong 1,"Vanuit buiklig armen en benen omhoog tillen en vasthouden. Kijk naar beneden.
Varieer door armen en benen afwisselend op en neer bewegen",,,,x,,x,jnS8UT6_Uws?start=137&end=152,,x,,,,,CS.KR.24,CS.KR.23
