TS1-Woensdag 21-12-2016,TS2-Woensdag 21-12-2016,TS1-Woensdag 29-12-2016,TS2-Woensdag 29-12-2016,TS1-Woensdag 25-01-2017,TS2-Woensdag 25-01-2017
Warming up,,Warming up,,Warming up,
W001,Inlopen,W001,Inlopen,W001,Rustig inlopen – 20 min.
W002,Armen zwaai,,,,
W003,Kruispas,,,,
W004,Zijwaarts met armen zwaai,,,Loopscholing,
W007,Grond aanraken (met spring),,,,
L007,,,,L001,
Core stability,,,,L003,
K005,,,,L017,
K003,,,,L008,
K010,,,,L020,
K004,,,,L021,
,,,,L005,
Loopscholing,,Loopscholing,,,
L001,"3 vormen:
- normaal
- armen gestrekt omhoog
- armen gestrekt omhoog, 
draaiend links, rechts. 
Om en om",L001,"3 vormen:
- normaal
- armen gestrekt omhoog
- armen gestrekt omhoog, 
draaiend links, rechts. 
Om en om",,
L003,"3 vormen:
- normaal
- armen gestrekt omhoog
- armen gestrekt omhoog, 
draaiend links, rechts. 
Om en om",L003,"3 vormen:
- normaal
- armen gestrekt omhoog
- armen gestrekt omhoog, 
draaiend links, rechts. 
Om en om",Hoofdprogramma,
L004,"3 vormen:
- normaal
- armen gestrekt omhoog
- armen gestrekt omhoog, 
draaiend links, rechts. 
Om en om",L004,"3 vormen:
- normaal
- armen gestrekt omhoog
- armen gestrekt omhoog, 
draaiend links, rechts. 
Om en om",H77,
L008,"3 vormen:
- normaal
- armen gestrekt omhoog
- armen gestrekt omhoog, 
draaiend links, rechts. 
Om en om",L008,"3 vormen:
- normaal
- armen gestrekt omhoog
- armen gestrekt omhoog, 
draaiend links, rechts. 
Om en om",,
L013,"3 vormen:
- normaal
- armen gestrekt omhoog
- armen gestrekt omhoog, 
draaiend links, rechts. 
Om en om",L013,"3 vormen:
- normaal
- armen gestrekt omhoog
- armen gestrekt omhoog, 
draaiend links, rechts. 
Om en om",Cooling down,
L019,3x normaal,L019,3x normaal,C002,
L002,3x normaal,L002,3x normaal,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Hoofdprogramma,,Hoofdprogramma,,,
H68,"Intensieve interval:
(Clinic doet de interval extensief)

2x ( 8x 100 – 100p 
        3X 300 – 400p)

2x (400 - 400p) 
(1e 200m ext., laatste 200m versnellen)",H71,,,
,,,,,
,,,,,
Cooling down,,,,,
C001,,,,,
C002,,,,,
