ID,Korte omschrijving,Intervals,Extra info,Video,Img,Youtube Id,,
A001,Inleiding,,Vul in bij de TS kolom...,,,,,
W001,Inlopen,,Zelfstand inlopen,,,,,
W002,Armen zwaai,,"links, rechts, beide, achteruit",,,,,
W003,Kruispas,,"linksom, rechtom",,,,,
W004,Zijwaarts met armen zwaai,,"Gezicht naar binnen, gezicht naar buiten",,,,,
W005,Knienen-Teen,,Door de knieen en op tenen (wandelend),,,,,
W006,Korte vernelling (rustige opbouw),,Korte verschelling 10m (of 5 sec op fluitsignaal). Versnelling op rustig worden uitgevoerd,,,,,
W007,Grond aanraken (met spring),,"Op aangeven de grond aantikken, links en recht.
Grond aantikken met beide handen en dan springen",,,,,
w008,Kruispas(2) – Indraaien/inspringen,,"Variatie op het klassieke 'indraaien'. Nu wordt echter met twee voeten tegelijk afgezet.
Afzet is kort en reactief.
Afzet is vooral verticaal, probeer zo min mogelijk rotatie opwekken tijdens de afzet. Bovenlichaam en benen moeten tegen elkaar in getordeerd worden in de lucht.
Zorg dat het lichaam 'groot' blijft.
Kan ook prima door de zandbak of in de duinen.
Variaties op afstand, snelheid en hoogte goed mogelijk.",,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
K001,Rekken/strekken algemeen,,De diverse spiergroepen.,,,,,
K002,Zwaaibeweging been op de plaats,,Evenwicht houden. Daarna stilhangen lichaam naar voren 1 been achter.maak ipv zwaaiende beweging draaiende beweging,,x,,,
k026,Draaibeweging been op de plaats,,Een standbeen ander draaien. Daarna andersom,,x,JchS1SGwW90?start=0&end=10,,
K005,Tripplings op de plaats met kniehef,,"Tripplings op de plaats met kniehef, kniehef paar sec. vasthouden.",,,,,
K006,"Dribbelen op plaats, Sprongbeweging",,"Dribbelen op plaats, Sprongbeweging",,,,,
K008,Kniehef overgaand naar stilstand,,"Kniehef op de plaats daarna overgaan variant met stilstand (1 knie omhoog 90 graden en paar sec. vasthouden, wisselen van been)",,,,,
K009,Sprongbeweging naar ligstand buik,,"Spring eerst, daar met handen naar de grond en strek je benen. Kom je benen weer en kom overeind en spring evt knieen omhoog.",,,,,
K010,Naar push en weer terug naar staand,,"Buig je rug, benen gestrekt. Breng je armen naar de grond iets voor je voeten en beweeg ze een voor een naar voren tot je rug recht is en een push up kan doen.
Na 1 push up weer terug naar de oorsponkelijke stan",,,,,
K003,Uitvalspas,,"Links, rechts om en om",,,,,
K004,Squats,,"Squats, rug recht, strek je armen als je door de knieen zakt",,,,,
